lastName,firstName,className,choice1,choice2,choice3
Lama,Bernard,France 98,Juggling,Sliding Tackles,Refereeing
Barthez,Fabien,France 98,Field Theory,Sliding Tackles,Juggling
Charbonnier,Lionel,France 98,Refereeing,Field Theory,Fluid Mechanics
Blanc,Laurent,France 98,Juggling,Fluid Mechanics,Refereeing
Desailly,Marcel,France 98,Field Theory,Organic Chemistry,Fluid Mechanics
Lizarazu,Bixente,France 98,Refereeing,Third Half,Field Theory
Candela,Vincent,France 98,Fluid Mechanics,Juggling,Third Half
Karembeu,Christian,France 98,Third Half,Refereeing,Field Theory
Thuram,Lilian,France 98,Refereeing,Football,Field Theory
Leboeuf,Frank,France 98,Third Half,Football,Field Theory
Deschamps,Didier,France 98,Sliding Tackles,Organic Chemistry,Third Half
Petit,Emmanuel,France 98,Fluid Mechanics,Juggling,Refereeing
Zidane,Zinedine,France 98,Fluid Mechanics,Organic Chemistry,Sliding Tackles
Djorkaeff,Youri,France 98,Third Half,Refereeing,Field Theory
Pirès,Robert,France 98,Juggling,Organic Chemistry,Sliding Tackles
Vieira,Patrick,France 98,Football,Field Theory,Third Half
Boghossian,Alain,France 98,Field Theory,Sliding Tackles,Third Half
Diomède,Bernard,France 98,Refereeing,Organic Chemistry,Fluid Mechanics
Guivarc'h,Stéphane,France 98,Football,Refereeing,Organic Chemistry
Dugarry,Christophe,France 98,Refereeing,Juggling,Sliding Tackles
Henry,Thierry,France 98,Football,Fluid Mechanics,Sliding Tackles
Trezeguet,David,France 98,Fluid Mechanics,Organic Chemistry,Sliding Tackles
