lastName,firstName,className,choice1,choice2,choice3
Nernst,Walther,Solvay 1911,Juggling,Organic Chemistry,Fluid Mechanics
Brillouin,Marcel,Solvay 1911,Third Half,Organic Chemistry,Field Theory
Solvay,Ernest,Solvay 1911,Juggling,Refereeing,Organic Chemistry
Lorentz,Hendrik,Solvay 1911,Organic Chemistry,Refereeing,Juggling
Warburg,Emil,Solvay 1911,Football,Field Theory,Third Half
Perrin,Jean,Solvay 1911,Third Half,Sliding Tackles,Field Theory
Wien,Wilhelm,Solvay 1911,Juggling,Third Half,Football
Curie,Marie,Solvay 1911,Sliding Tackles,Fluid Mechanics,Field Theory
Poincaré,Henri,Solvay 1911,Football,Organic Chemistry,Fluid Mechanics
Goldschmidt,Robert,Solvay 1911,Third Half,Sliding Tackles,Refereeing
Planck,Max,Solvay 1911,Organic Chemistry,Football,Third Half
Rubens,Heinrich,Solvay 1911,Third Half,Sliding Tackles,Refereeing
Sommerfeld,Arnold,Solvay 1911,Organic Chemistry,Fluid Mechanics,Football
Lindemann,Frederick,Solvay 1911,Refereeing,Sliding Tackles,Organic Chemistry
de Broglie,Maurice,Solvay 1911,Field Theory,Football,Juggling
Knudsen,Martin,Solvay 1911,Organic Chemistry,Fluid Mechanics,Third Half
Hasenöhrl,Friedrich,Solvay 1911,Field Theory,Fluid Mechanics,Third Half
Hostelet,Georges,Solvay 1911,Football,Field Theory,Refereeing
Herzen,Édouard,Solvay 1911,Fluid Mechanics,Field Theory,Organic Chemistry
Jeans,James,Solvay 1911,Refereeing,Sliding Tackles,Fluid Mechanics
Rutherford,Ernest,Solvay 1911,Third Half,Organic Chemistry,Sliding Tackles
Kamerlingh Onnes,Heike,Solvay 1911,Sliding Tackles,Fluid Mechanics,Juggling
Einstein,Albert,Solvay 1911,Fluid Mechanics,Refereeing,Field Theory
Langevin,Paul,Solvay 1911,Field Theory,Refereeing,Organic Chemistry
